fiches_nr,libéllé(s),illustration(s),localisation,inscription,catégorie(s),état,notice
63072-INV-0026-02,Monument commémoratif (perron),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0026-02/63072-INV-0026-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0026-02/63072-INV-0026-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0026-02/63072-INV-0026-02-PHOT-03-01.jpg___,"Adresse principale : Place du Perron, SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Dans le haut de la place, face à l'hôtel de ville, se dresse le perron de Spa. Symbole des franchises accordées à la ville de Spa en 1591, le perron fut érigé sur le marché en 1594. Le perron actuel date de 1674. En 1898, il a été reconstruit à son emplacement actuel. L'ensemble se compose d'une fontaine entourée d'une grille en fer forgé surmontée par le perron datant de 1674, également ceint d'une grille. Le perron adopte la forme d'une colonne baguée en fonte, surmontée d'une pomme de pin et d'une croix, et dressée sur trois marches sur lesquelles se tiennent trois grenouilles.

BD et FDC

Bibliographie

KRINS V., 2009. Le patrimoine de Spa, Stavelot (Carnets du Patrimoine, 57), p. 13."
63072-INV-0027-01,Aucun libellé renseigné,N/A,"Adresse principale : Place Pierre-le-grand, SPA (Spa)",N/A,N/A,N/A,"""Pouhon Pierre-le-Grand"". Au centre de la ville, la source fut très vite renommée pour son eau gazeuse, légèrement sulfureuse, aux vertus thérapeutiques nombreuses. On lui attribue la guérison de personnalités les plus célèbres dont l'empereur de Russie, Pierre-le-Grand. Au XIVe s., la source était un simple puisoir. En 1717, lors d'un voyage en Europe, Pierre-le-Grand se rendit à Spa pour y faire une cure. A cette époque, la fontaine était abritée par une modeste niche entourée d'un mur d'enceinte. Soucieux de marquer sa gratitude envers la cité et ses eaux, l'empereur fit édifier un petit monument en marbre noir. Celui-ci, encore en place, est gravé d'un texte de reconnaissance surmonté des armoiries impériales. En 1820, le prince d'Orange décida d'offrir à la ville un monument plus important, à la mémoire du passage de l'empereur de Russie dans la ville. Un péristyle classique surmonté d'un étage fut construit. Sans doute trop vite exigu, ce monument fut remplacé par le bâtiment actuel, en 1880, construction en calcaire de plan octogonal, prolongée par un jardin d'hiver. Grandes baies cintrées éclairant l'ensemble.
A l'emplacement de l'actuelle rotonde s'élevait l'ancien hôtel-de-ville construit en 1771 par l'architecte liégeois B. Digneffe (fig. 1163, 1164).
P. LAFAGNE. Spa-ancien, figures de Bobelins et pages d'histoire, Spa, 1934.	M.M."
63072-INV-0027-02,Pavillon de source (pouhon pierre le grand),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-08-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-09-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-10-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-11-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-12-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-13-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-14-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-15-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-16-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0027-02/63072-INV-0027-02-PHOT-17-01.jpg___,"Adresse principale : Rue du Marché 1A, SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Au centre de la ville, la source fut très vite renommée pour son eau gazeuse, légèrement sulfureuse, aux vertus thérapeutiques nombreuses. On lui attribue la guérison de personnalités célèbres parmi lesquelles l'empereur de Russie, Pierre le Grand. Au 14e siècle, la source était un simple puisoir. En 1717, lors d'un voyage en Europe, Pierre le Grand se rendit à Spa pour y faire une cure. À cette époque, la fontaine était abritée par une modeste niche entourée d'un mur d'enceinte. Soucieux de marquer sa gratitude envers la cité et ses eaux, l'empereur fit édifier un petit monument en marbre noir. Celui-ci, encore en place à l'intérieur, est gravé d'un texte de reconnaissance surmonté des armoiries impériales. En 1820, le prince d'Orange décida d'offrir à la ville un monument plus important, en souvenir du passage de l'empereur de Russie dans la ville. Un péristyle classique surmonté d'un étage fut construit. Sans doute trop exigu, ce monument fut remplacé par le bâtiment actuel, édifié en 1880 d'après des plans de l'architecte bruxellois Victor Besme. La construction en calcaire et pierre blanche de plan octogonal est prolongée par un jardin d'hiver de plan rectangulaire. L'ensemble est éclairé par de hautes baies à arc cintré retombant sur des colonnettes ioniques. Les travées de la rotonde sont scandées par des pilastres pliés.
La partie octogonale est coiffée d'un toit en pavillon éclairé par un lanterneau couronné d'un dôme; nombreux élément décoratifs en zinc. À l'emplacement de l'actuelle rotonde s'élevait autrefois l'ancien hôtel de ville construit en 1771 par l'architecte liégeois Barthélemy Digneffe.
Le pouhon était autrefois agrémenté d'une verrière et d'un auvent vitré en métal et en verre, démolis en 1948. Le pouhon a été restauré de 2009 à 2010 par le bureau d'architectes Léo Haesbroeck qui a restitué une verrière et un auvent de style cotemporain. 
À l'intérieur, le pavillon de source octogonal et le jardin d'hiver conservent leur charpente métallique remarquablement ouvragée reposant sur des colonnettes métalliques; le jardin d'hiver bénéficie d'un éclairage zénital provenant d'une longue verrière faîtière.
À noter également, la présence d'un petit monument en albâtre et marbre noir offert par le tsar Pierre le Grand en 1718 surmonté d'un buste du tsar réalisé par le sculpteur Rauch offert en 1856 et une peinture monumentale de 1894 due au pinceau d'Antoine Fontaine. Intitulé ""Le Livre d'or"", cette dernière représente une partie des très nombreuses célébrités qui ont séjourné à Spa. L'ancienne fontaine a été remplacée par une réalisation contemporaine signée par les architectes Léo Haesbroeck et Gaël Huynh.

BD et FDC (actualisation IPM)

Bibliographie

LOMBAERDE P. R., 1986. Le développement urbanistique, architectural et artistique de deux villes d'eau en Belgique : Spa et Ostende. (Suite), Histoire et archéologie spadoises, Spa, Villa royale Marie-Henriette, 46,  p. 67-77.

KRINS V., 2009. Le patrimoine de Spa, Stavelot (Carnets du Patrimoine, 57), p. 28-29, 32, 34.

WARNOTTE M., 2012. Le Pouhon Pierre Le Grand. Étude du Pouhon Pierre Le grand à Spa : de son origine à sa restauration. Travail de fin d'études en vue de l'obtention du diplôme d'architecte. Année académique 2011-2012, Université de Liège, Faculté d'Architecture-Filière Institut Lambert Lombard."
63072-INV-0028-01,Aucun libellé renseigné,N/A,"Adresse principale : Place Pierre-le-grand 1, SPA (Spa)",N/A,N/A,N/A,"N°1. ""Hôtel de Lorraine"". Auberge du ""Léopard"" en 1669 puis ""Hôtel de Lorraine"" en 1730. Démoli une première fois au XVIIIe s. Reconstruction en style Louis XV vers 1760. Bel édifice qui présentait, jusqu'il y a peu, sa façade principale rue du Marché et son pignon g. place Pierre-le-Grand. L'ensemble a été démoli puis reconstruit pierre par pierre par l'architecte M. Geenen, de Spa, en 1977. Il présente maintenant sa façade place Pierre-le-Grand, et son pignon g. face à la rue Dagly. Pignon dr. aujourd'hui doté d'une annexe de tendance résolument contemporaine, en panneaux de verre fumé, bien intégrée au bâtiment ancien. Réalisation de ce même architecte.
L'édifice appartint au célèbre tourneur spadois Lambert Xhrouet (1707-1781), connu pour ses réalisations en bois, nacre, écaille, os et ivoire. L'hôtel abrita entre-autres: le prince-évêque d'Augsbourg pendant ses nombreux séjours dans la station thermale,de 1756 à 1760, la princesse Anne-Emilie de Prusse, le prince Sangusko, le prince et la princesse Ferdinand de Prusse...
Elevé en briques et calcaire, édifice comptant trois niveaux de hauteur dégressive et six travées. Niveaux séparés par des cor-dons profilés courant également sur le pignon g. Magnifiques chaînes d'angle en calcaire dont la décoration, composée d'éléments floraux stylisés et de cartouches en creux au r.d.ch., se simplifie au fur et à mesure des étages. Couronnées par un petit fronton triangulaire percé d'un oeil-de-boeuf, deux travées centrales appareillées à refends, ouvertes au r.d.ch. de deux portes semblables: encadrement finement mouluré, linteau à découpures courbes et motifs de feuillage stylisé. A l'étage, deux portes à encadrements et linteaux fortement ouvragés accédant à un balconnet commun, protégé par un élégant garde-corps en fer forgé, portant dans un cartouche peint le nom de l'hôtel. Au 3e niveau, baies cintrées à clé ornementée. Baies des travées latérales aux appuis abaissés au r.d.ch., à linteau bombé. Bords supérieurs moulurés et présentant, aux coins, une petite courbe d'un style Louis XV assagi. Clés ornées de motifs rocailles asymétriques. Mêmes baies au pignon g. Sur corniche de calcaire et de bois moulurée, bâtière à croupes percée en façade de deux lucarnes (fig. 1163, 1165). M.M."
63072-INV-0028-02,Hôtel de voyageurs (hôtel de lorraine),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-07-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-08-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-09-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0028-02/63072-INV-0028-02-PHOT-10-01.jpg___,"Adresse principale : Place Pierre le Grand 1, SPA (Spa)",Bien inscrit comme : Monument,"Domestique, Economique",État à la date de la prospection : Bon,"Épousant l'angle formé par les rues de l'Hôtel de Ville, du Marché et de la place Pierre le Grand, l'ancien Hôtel de Lorraine fut démoli une première fois au 18e siècle et reconstruit en style Louis XV vers 1760. À l'origine, cet édifice présentait sa façade principale rue du Marché et son pignon gauche place Pierre-le-Grand. L'ensemble a été démoli puis reconstruit en 1977 par l'architecte Marcel Geenen, de Spa. Il présente aujourd'hui sa façade principale place Pierre le Grand, et son pignon gauche à l'entrée de la rue de l'Hôtel de Ville. Le pignon droit, autrefois mitoyen, est actuellement doté d'une annexe contemporaine, en panneaux de verre fumé ajoutée lors de la reconstruction de l'immeuble par l'architecte Geenen.
L'édifice a appartenu au célèbre tourneur spadois Lambert Xhrouet (1707-1781), connu pour ses réalisations en bois, nacre, écaille, os et ivoire. L'hôtel a acceuilli entre-autres: le prince-évêque d'Augsbourg pendant ses nombreux séjours dans la station thermale, de 1756 à 1760, la princesse Anne-Emilie de Prusse, le prince Sangusko, le prince et la princesse Ferdinand de Prusse ainsi que le peintre et graveur Fragonard...
Élevé en briques et calcaire, l'édifice compte trois niveaux de hauteur dégressive et six travées. Les niveaux sont séparés par des cordons profilés saillants se prolongeant également sur les pignons. Intéressantes chaînes d'angle en calcaire arrondies dont la décoration, composée d'éléments floraux stylisés et de cartouches en creux au rez-de-chaussée, se simplifie au fur et à mesure des étages. Couronnées par un petit fronton triangulaire percé d'un oeil-de-boeuf, les deux travées centrales appareillées à refends, sont accessibles au rez-de-chaussée par deux portes semblables fortement restaurées, à encadrement finement mouluré, linteau à découpes courbes et motifs de feuillage stylisé. À l'étage, deux portes-fenêtres à encadrements et linteaux ouvragés s'ouvrent sur un balcon commun, protégé par un élégant garde-corps en fer forgé, portant dans un cartouche peint le nom de l'hôtel. Au 3e niveau, baies cintrées à clé ornementée. Baies des travées latérales à linteau bombé écorné, couronné par une fine moulure interrompue par une clé rehaussée de rocaille asymétrique; appuis abaissés au rez-de-chaussée. Mêmes baies au pignon gauche. Sur corniche de calcaire et de bois moulurée, toit deux versants à croupes percé en façade de deux lucarnes à croupe. 

BD (actualisation IPM)

Bibliographie

JOSEPH M., 2005. Douces nuits. Les enseignes hôtelières à Spa, Spa, p. 79."
63072-INV-0029-01,Aucun libellé renseigné,N/A,"Adresse principale : Promenade Reickem, SPA (Spa)",N/A,N/A,N/A,"Pavillon Félix Bernard. Isolé dans les bois, au N-0. de Spa, petit pavillon érigé dans la 2e moit. du XIXe s. à la mémoire du poète liégeois décédé à Spa en 1903. Construction de plan hexagonal avec colonnes au chapiteau de style dorique, ouverte sur trois côtés et abritant trois bancs (fig. 1166). M.M."
63072-INV-0029-02,Belvédère - pavillon (pavillon félix bernard),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0029-02/63072-INV-0029-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0029-02/63072-INV-0029-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0029-02/63072-INV-0029-02-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0029-02/63072-INV-0029-02-PHOT-04-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0029-02/63072-INV-0029-02-PHOT-05-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0029-02/63072-INV-0029-02-PHOT-06-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0029-02/63072-INV-0029-02-PHOT-07-01.jpg___,"Adresse principale : Promenade Reickem, SPA (Spa)",Bien inscrit comme : Monument,Public,État à la date de la prospection : Bon,"Isolé dans les bois, au nord-ouest de Spa, en contre-bas de la promenade Reickem, intéressant belvédère de style néo-classique édifié en 1909 par la mère du poète liégeois Félix Bernard, en mémoire de son fils décédé en 1903. Construction de plan hexagonal érigée d'après des plans des architecte et entrepreneur Paes père et fils, en calcaire et briques recouvertes d'un cimentage, ouverte sur trois côtés vers la vallée. L'édicule comporte deux colonnes toscanes dans la partie ouverte et des pilastres toscans aux angles des trois côtés fermés. L'ensemble est couronné par un entablement portant l'inscription gravée sur la frise de la face avant: ""A la MEMOIRE de mon FILS"". À l'intérieur, un pavement entièrement en dalle de calcaire représente un motif géométrique rayonnant au départ d'une dalle exagonale centrale. Le fond du belvédère est agrémenté de trois banquettes en bois reposant sur des consoles moulurées en talon; une dalle est aposée sur le mur du fond et comporte le texte gravé d'un poème de Félix Bernard intitulé: ""Le Livre de la Nature"". Au-dessus de l'entablement, un couronnement exagonal en calcaire, à toiture plate, coiffe l'ensemble. 

BD et FDC

Bibliographie

PIRONET L., 2002. La restauration du pavillon de Hesse-Rheinfels à Spa, Histoire et Archéologie spadoises, Spa, Villa royale Marie-Henriette, 112,  p. 171."
63072-INV-0030-01,Aucun libellé renseigné,N/A,"Adresse principale : Rue Rogier 13-15, SPA (Spa)",N/A,N/A,N/A,"N°s 13-15. Ancien hôtel de Russie. Près du Pouhon, construction classique en briques et calcaire du 3e qu. du XVIIIe s. Quatre niveaux de quatre travées en façade principale, trois travées en façade latérale. Angles en briques arrondis entre chaînes calcaires à refends. R.d.ch. transformé à des fins commerciales. Aux étages, baies à linteau bombé à clé, de hauteur décroissante et munies d'accoudoirs en fer forgé. Précédée d'une volée d'escaliers, porte d'entrée latérale accédant directement au 1er étage. Aménagement de plusieurs balcons en façades principale et latérale. Bâtière à croupes percée de lucarnes bombées.
M.M. [1892]"
63072-INV-0030-02,Hôtel de voyageurs (hôtel de russie),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0030-02/63072-INV-0030-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0030-02/63072-INV-0030-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0030-02/63072-INV-0030-02-PHOT-03-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0030-02/63072-INV-0030-02-PHOT-04-01.jpg___,"Adresse principale : Rue Rogier 13-15 (impairs), SPA (Spa)",Bien inscrit comme : Monument,"Domestique, Economique",État à la date de la prospection : Bon,"En face du pouhon Pierre le Grand et à l'angle de la rue Biez du Moulin, l'ancien hôtel de Russie est une construction en briques et calcaire de style classique édifiée en 1771. Bâtiment de quatre niveaux de quatre travées en façade principale, trois travées en façade latérale. Angles gauche arrondi entre pilastres de calcaire à refends de même que la façade principale. Vers la rue Rogier, rez-de-chaussée transformé à des fins commerciales. Aux étages, baies de hauteur décroissante à linteau bombé à clé et munies de gardes-corps en fer forgé. Précédée d'un perron limité par d'élégantes rampes en fer forgé, porte d'entrée latérale donnant directement accès au premier étage. Aménagement de deux balcons superposés soutenus par des colonnettes en fonte contre la façade latérale et d'un large balcon au premier étage de la rue Rogier dans la seconde moitié du 19e siècle. Bâtière à croupes d'asbeste-ciment.

BD

Bibliographie

JOSEPH M., 2005. Douces nuits. Les enseignes hôtelières à Spa, Spa, p. 106."
63072-INV-0031-01,Aucun libellé renseigné,N/A,"Adresse principale : Rue Royale 2, SPA (Spa)",N/A,N/A,N/A,"N°2. Etablissement des Bains. Important témoin d'une architecture du XIXe s. vouée à l'éclectisme et à l'historicisme, terminé en 1868. Construction décidée par le bourgmestre de Spa Joseph Servais et plans dessinés par l'architecte bruxellois Léon Suys, converti aux mouvements ""néos"" de son époque: ample bâtiment où l'on retrouve les caractéristiques de son art : hantise de l'antiquité, surcharge des éléments décoratifs, goût pour les frontons, les colonnes cannelées, les statues allégoriques. Cependant, l'Etablissement des Bains présente ici une certaine élégance. Il n'est plus entouré de ses grilles qui le parachevaient (fig. 1167).
P. FIERENS, l'art en Belgique, Bruxelles, [1947].
M.M."
63072-INV-0031-02,Établissement thermal (établissement des bains),N/Ahttp://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0031-02/63072-INV-0031-02-PHOT-01-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0031-02/63072-INV-0031-02-PHOT-02-01.jpg___http://docum1.wallonie.be/PHOTOS/IPIC/resizes/Liege/63072/63072-INV-0031-02/63072-INV-0031-02-PHOT-03-01.jpg___,"Adresse principale : Rue Royale 2, SPA (Spa)",Bien inscrit comme : Monument,Economique,État à la date de la prospection : Moyen,"Important témoin de l'architecture du 19e siècle vouée à l'éclectisme et à l'historicisme, l'établissement des bains fut inauguré en 1868 d'après des plans de l'architecte bruxellois Léon Suys. Autrefois entouré de grilles, l'ensemble s'étend perpendiculairement à la rue Royale. De plan rectangulaire, il s'organise autour d'une cour centrale. Accessible par un escalier monumental, l'édifice présente des façades en pierre blanche, provenant de la ville d'Audun-Le-Tiche en Moselle, et calcaire de Sprimont, de style éclectique à dominante néo-classique richement décorées notamment par les sculpteurs Guillaume de Groot et Jacques Jacquet : pilastres cannelés, frontons triangulaires couronnés de statues allégoriques, corniches saillantes couronnant les étages, vases pontuant les angles de la toiture. 
L'avant-corps central donne accès à un vaste vestibule s'élevant sur deux niveaux et à la décoration polychrome foisonnante: pilastres cannelés, corniche sur hauts modillons galbés, fronton courbe couronné de statues couchées réalisées par le sculpteur Guillaume de Groot, panneaux décorés de couronnes à motifs végétaux et plafond orné d'une peinture du peintre liégeois Joseph Carpay représentant Vénus sortant de l'onde et Neptune. Le vestibule accueille également deux fontaines de marbre d'où s'écoulait l'eau des sources de la Reine et Marie-Henriette.
Dans chaque aile longitudinale, permettant de séparer autrefois les hommes des femmes, un couloir central donne accès aux différentes pièces de l'établissement, dont les salles de bains, certaines conservant leurs carrelages et mobilier d'origine. 


BD et FDC


Bibliographie

GUILLEAUME A., 2007. L'établissement des bains de Spa. Études de l'architecture et des décors, préliminaires au projet de conservation. Thesis to obtain the degree of Master in Conservation of monuments and Sites, Katholieke Universiteit Leuven, Centre International Raymond Lemaire pour la Conservation.

KRINS V., 2009. Le patrimoine de Spa, Stavelot (Carnets du Patrimoine, 57), p. 26-28."
63072-INV-0032-01,Aucun libellé renseigné,N/A,"Adresse principale : Rue Royale 4, SPA (Spa)",N/A,N/A,N/A,"N°4. Casino. Edifice construit de 1920 à 1922 et remplaçant la «Redoute», célèbre maison d'assemblées au XVIIe s.
Suite à la vogue des eaux, la foule attirée à Spa au XVIIIe s. étant de plus en plus nombreuse, les bourgmestres Deleau et Xhrouet proposèrent de faire édifier une vaste maison d'assemblées pour y organiser réunions publiques, bals et jeux. En 1762, le prince-évêque de Liège, Jean-Théodore de Bavière, accorda au magistrat de Spa le privilège exclusif de tenir une telle maison.
Le célèbre architecte liégeois Barthélemy Digneffe fut chargé, en 1763, d'édifier l'immeuble qui prit le nom de ""La Redoute"". Il s'agissait d'une vaste construction de style Louis XVI, aujourd'hui remplacée par l'actuel Casino érigé à son emplacement. L'élégante façade, de six larges travées, était élevée en maçonnerie à refends au r.d.ch. Limité par des pilastres à refends, le premier étage (bel étage) était éclairé par de très hautes baies rectangulaires surmontées chacune d'un panneau dans lequel s'inscrivait un motif décoratif en médaillon. L'intérieur, richement aménagé, comptait une grande salle de jeux, une salle de bals, un théâtre. Le stucateur italien Carlo Moretti compléta la décoration par des bas-reliefs en 1768. Une toiture d'ardoises percée de quatre lucarnes à fronton triangulaire couronnait le tout. Plus tard, on ajouta, en façade, un long balcon en fer forgé au niveau du 1' étage.
Le 13 août 1785, l'aile droite fut incendiée ainsi que l'hôtel d'Orange, voisin immédiat. Suite à l'abolition du privilège des jeux, en 1872, l'ère de la grande prospérité spadoise tomba. C'est à cette époque que la Redoute prit le nom de Casino. En 1907, l'ensemble du Casino et ses dépendances fut reconstruit. Il englobait encore la belle salle de bal et le théâtre, épargnés.
Incendié à nouveau en 1917, l'édifice fut redessiné par les architectes Hansen et Paes et réédifié de 1920 à 1922. Construite dans le même esprit que celle du XVIIIe s., la façade du Casino, d'ordonnance semblable, diffère cependant par des détails importants de la façade primitive construite par Barthélemy Digneffe: panneaux décoratifs au-dessus des baies de l'étage plus chargés, forme de la toiture différente et partiellement masquée par une balustrade de couronnement etc. Un balcon de pierre soutenu par de massives colonnes a été ajouté (fig. 1168).
J. PH. de Limbourg, les Amusements de Spa, 1782-1783. P. LARAGNE, o.c.
 M.M."
